I0,I1,I2,I3,time(sec)
4,3,7,2,0
3,3,6,1,0.2
4,4,10,2,0.4
6,5,15,4,0.6
5,5,13,3,0.8
8,8,19,5,1
8,8,20,6,1.2
7,7,18,5,1.4
8,6,18,5,1.6
6,5,13,4,1.8
6,5,12,3,2
3,2,9,1,2.2
2,3,10,2,2.4
2,3,9,1,2.6
2,3,10,2,2.8
4,5,15,3,3
5,5,16,3,3.2
5,6,16,4,3.4
5,5,16,3,3.6
2,3,10,2,3.8
4,4,14,3,4
4,4,14,3,4.2
4,4,15,3,4.4
4,5,16,4,4.6
4,5,15,3,4.8
5,6,16,4,5
6,6,18,4,5.2
6,7,19,5,5.4
6,7,19,4,5.6
7,7,20,5,5.8
6,8,21,5,6
4,5,16,4,6.2
5,6,18,4,6.4
5,5,18,4,6.6
4,4,15,3,6.8
4,4,15,3,7
3,5,15,3,7.2
4,5,15,3,7.4
3,4,14,3,7.6
4,5,17,4,7.8
5,7,18,5,8
6,8,21,5,8.2
6,8,20,5,8.4
6,7,22,5,8.6
6,7,22,6,8.8
4,5,15,3,9
4,5,14,3,9.2
3,4,11,2,9.4
3,4,11,2,9.6
3,4,11,2,9.8
4,5,13,3,10
6,6,19,4,10.2
6,7,20,5,10.4
7,8,22,5,10.6
7,8,22,6,10.8
6,8,22,6,11
7,8,23,6,11.2
5,6,18,5,11.4
3,4,12,3,11.6
3,2,10,2,11.8
2,3,10,2,12
3,4,10,2,12.2
3,4,11,2,12.4
4,4,11,2,12.6
3,4,10,3,12.8
5,5,14,4,13
7,7,21,5,13.2
7,8,22,6,13.4
6,8,22,6,13.6
6,7,18,4,13.8
5,6,16,4,14
4,4,15,3,14.2
4,4,15,3,14.4
4,4,16,4,14.6
2,3,11,2,14.8
3,3,11,2,15
2,3,11,2,15.2
2,3,11,3,15.4
3,3,11,2,15.6
3,5,12,3,15.8
6,7,20,5,16
7,8,22,6,16.2
7,8,22,5,16.4
5,7,17,4,16.6
4,6,15,4,16.8
2,4,8,2,17
2,3,10,2,17.2
3,3,11,2,17.4
3,3,11,2,17.6
3,3,10,2,17.8
5,6,18,4,18
3,5,13,2,18.2
3,3,10,2,18.4
3,3,11,2,18.6
2,3,11,2,18.8
2,3,11,2,19
3,2,11,2,19.2
2,2,11,2,19.4
