I0,I1,I2,I3,time(sec)
8,10,9,33,0
8,10,9,33,0.2
9,11,9,33,0.4
8,11,9,32,0.6
9,11,9,31,0.8
9,11,9,31,1
9,11,10,33,1.2
9,12,10,33,1.4
9,12,10,33,1.6
9,12,11,33,1.8
9,12,11,34,2
9,12,11,33,2.2
9,12,11,34,2.4
9,12,11,34,2.6
9,11,10,34,2.8
9,12,11,34,3
9,12,11,35,3.2
9,12,11,34,3.4
9,12,11,35,3.6
9,11,10,32,3.8
9,12,11,34,4
9,12,10,33,4.2
9,12,11,34,4.4
9,12,10,33,4.6
9,11,10,32,4.8
9,11,10,31,5
9,11,10,31,5.2
9,12,10,32,5.4
9,12,10,34,5.6
9,12,11,35,5.8
9,12,10,34,6
9,12,10,35,6.2
9,12,10,35,6.4
10,12,11,35,6.6
8,11,10,32,6.8
8,11,10,33,7
8,10,9,32,7.2
8,10,9,31,7.4
7,9,8,29,7.6
6,8,7,25,7.8
7,8,8,26,8
7,8,8,27,8.2
6,7,7,26,8.4
7,7,8,26,8.6
6,8,7,27,8.8
7,8,8,28,9
7,8,8,28,9.2
7,8,8,26,9.4
7,8,8,28,9.6
7,9,7,28,9.8
7,9,7,27,10
7,9,8,27,10.2
7,9,8,26,10.4
7,10,8,27,10.6
8,10,9,28,10.8
8,11,9,29,11
8,11,9,31,11.2
8,10,8,30,11.4
8,10,9,30,11.6
8,10,9,31,11.8
8,11,9,32,12
9,11,10,33,12.2
9,11,10,34,12.4
8,10,8,30,12.6
8,10,9,30,12.8
8,10,9,30,13
9,11,9,32,13.2
8,11,10,33,13.4
8,11,9,32,13.6
8,10,9,31,13.8
8,10,9,30,14
8,11,9,31,14.2
9,12,10,32,14.4
9,12,11,32,14.6
9,11,10,32,14.8
9,12,11,33,15
10,12,11,35,15.2
8,12,10,33,15.4
9,11,10,33,15.6
9,11,10,32,15.8
9,11,10,32,16
9,11,10,32,16.2
9,12,11,33,16.4
9,12,11,33,16.6
9,11,11,33,16.8
9,11,10,32,17
9,12,10,34,17.2
8,10,9,33,17.4
8,10,9,30,17.6
8,11,10,33,17.8
9,11,10,33,18
9,11,10,34,18.2
9,12,10,34,18.4
9,11,11,34,18.6
9,12,11,34,18.8
9,12,10,35,19
9,11,10,34,19.2
9,12,10,34,19.4
9,12,11,34,19.6
9,12,10,33,19.8
9,12,11,33,20
9,12,10,34,20.2
10,13,11,35,20.4
10,12,11,35,20.6
10,12,11,35,20.8
10,12,11,36,21
10,13,11,36,21.2
9,13,11,35,21.4
10,12,11,35,21.6
10,12,11,34,21.8
9,12,10,35,22
9,13,11,36,22.2
10,13,11,35,22.4
10,13,11,35,22.6
10,13,11,36,22.8
10,13,11,36,23
10,13,12,37,23.2
11,13,12,37,23.4
10,13,12,36,23.6
10,12,12,36,23.8
