I0,I1,I2,I3,time(sec)
34,35,34,79,0
33,34,33,77,0.2
32,33,32,75,0.4
32,33,32,74,0.6
33,34,33,79,0.8
33,33,33,79,1
32,34,33,79,1.2
33,34,33,80,1.4
32,33,32,77,1.6
31,32,31,73,1.8
29,30,30,70,2
29,31,29,70,2.2
30,31,30,72,2.4
31,31,31,72,2.6
30,30,30,72,2.8
30,32,30,73,3
30,31,30,73,3.2
30,31,30,72,3.4
30,30,30,72,3.6
30,31,30,72,3.8
30,31,29,71,4
28,29,29,69,4.2
28,30,28,67,4.4
32,34,32,69,4.6
28,30,28,66,4.8
28,30,28,67,5
28,30,29,68,5.2
28,29,29,68,5.4
28,29,28,66,5.6
29,29,29,67,5.8
29,29,29,68,6
29,29,29,68,6.2
29,30,29,68,6.4
28,28,28,65,6.6
27,28,27,64,6.8
28,29,28,65,7
28,30,28,67,7.2
29,29,29,67,7.4
28,30,28,68,7.6
29,29,29,68,7.8
30,30,29,69,8
28,30,29,69,8.2
30,30,30,69,8.4
29,30,29,69,8.6
29,30,29,69,8.8
28,29,28,67,9
27,29,27,65,9.2
27,28,28,65,9.4
28,29,28,67,9.6
28,30,28,67,9.8
28,30,28,68,10
28,29,29,68,10.2
29,29,29,68,10.4
29,29,29,68,10.6
29,31,29,69,10.8
29,31,30,70,11
30,30,30,70,11.2
29,30,30,70,11.4
28,30,28,68,11.6
27,29,28,66,11.8
28,30,28,67,12
28,29,28,68,12.2
28,29,28,68,12.4
29,29,29,68,12.6
29,30,29,69,12.8
28,30,28,69,13
29,30,29,69,13.2
29,29,29,69,13.4
28,30,29,69,13.6
27,29,27,66,13.8
26,27,26,63,14
26,26,26,61,14.2
26,27,26,63,14.4
26,28,27,65,14.6
27,28,27,65,14.8
28,29,28,66,15
28,29,28,67,15.2
28,29,29,67,15.4
29,30,29,68,15.6
29,29,29,68,15.8
28,29,28,67,16
26,27,27,63,16.2
25,27,25,62,16.4
26,27,27,62,16.6
26,28,27,65,16.8
28,28,28,66,17
28,29,28,67,17.2
28,28,29,66,17.4
28,28,28,66,17.6
28,29,28,67,17.8
28,30,28,68,18
28,29,29,68,18.2
27,28,28,64,18.4
25,27,25,61,18.6
25,26,26,60,18.8
26,27,26,62,19
26,28,27,63,19.2
27,28,27,64,19.4
27,28,27,65,19.6
27,29,27,65,19.8
27,28,28,66,20
27,29,28,67,20.2
28,29,28,67,20.4
28,28,28,66,20.6
28,29,28,67,20.8
27,28,27,65,21
25,27,26,61,21.2
23,25,24,57,21.4
24,24,24,57,21.6
24,26,25,59,21.8
26,26,26,60,22
25,26,26,62,22.2
26,26,26,62,22.4
26,28,26,63,22.6
27,27,26,64,22.8
26,27,26,64,23
27,28,26,65,23.2
27,28,27,64,23.4
26,26,26,62,23.6
25,26,25,60,23.8
24,26,25,59,24
26,27,26,61,24.2
26,27,26,63,24.4
26,27,26,63,24.6
26,28,26,64,24.8
26,28,26,64,25
27,27,27,64,25.2
27,28,27,65,25.4
27,28,27,65,25.6
27,28,27,66,25.8
27,28,27,65,26
26,28,27,64,26.2
26,27,26,62,26.4
25,26,26,60,26.6
26,27,26,62,26.8
26,28,26,64,27
26,28,27,64,27.2
27,28,27,65,27.4
27,28,27,65,27.6
27,28,27,65,27.8
27,28,27,65,28
28,28,28,66,28.2
28,29,28,66,28.4
27,28,27,65,28.6
26,26,26,61,28.8
24,25,25,58,29
25,25,25,58,29.2
25,26,26,60,29.4
26,26,26,62,29.6
26,27,27,63,29.8
26,27,27,63,30
27,27,27,64,30.2
27,27,27,64,30.4
27,27,27,64,30.6
27,28,27,65,30.8
27,28,28,65,31
26,27,26,63,31.2
24,26,25,59,31.4
25,26,25,59,31.6
26,27,26,61,31.8
26,27,26,62,32
27,27,27,63,32.2
26,28,27,64,32.4
27,27,27,64,32.6
26,28,27,65,32.8
27,28,27,65,33
28,28,28,65,33.2
28,28,28,66,33.4
27,29,27,65,33.6
25,27,25,61,33.8
20,21,20,50,34
22,23,23,52,34.2
24,24,23,55,34.4
24,26,24,57,34.6
24,25,25,58,34.8
24,26,25,59,35
25,26,25,60,35.2
25,27,25,61,35.4
26,27,26,62,35.6
26,27,26,62,35.8
26,27,26,63,36
26,28,27,63,36.2
26,27,26,62,36.4
24,26,25,59,36.6
23,25,24,56,36.8
23,24,23,55,37
23,25,24,57,37.2
25,26,25,59,37.4
