I0,I1,I2,I3,time(sec)
38,38,38,78,0
39,39,39,78,0.2
39,39,38,79,0.4
39,39,38,79,0.6
40,41,39,81,0.8
41,40,40,82,1
41,41,40,82,1.2
41,42,41,83,1.4
41,43,41,85,1.6
42,42,42,84,1.8
42,43,42,85,2
42,42,42,85,2.2
42,42,41,84,2.4
41,42,41,84,2.6
42,43,41,85,2.8
43,43,42,86,3
41,42,42,85,3.2
41,42,42,84,3.4
42,42,42,85,3.6
43,43,42,86,3.8
43,43,42,86,4
43,43,42,87,4.2
43,43,42,86,4.4
43,43,43,86,4.6
43,43,42,87,4.8
43,43,43,87,5
44,43,42,88,5.2
43,43,43,88,5.4
44,43,43,87,5.6
43,44,43,87,5.8
43,43,42,87,6
43,43,42,86,6.2
43,43,41,86,6.4
43,43,42,86,6.6
43,43,42,86,6.8
43,43,43,86,7
44,45,44,89,7.2
45,45,44,89,7.4
44,44,44,88,7.6
44,44,44,89,7.8
45,44,44,89,8
45,44,44,89,8.2
44,45,44,90,8.4
42,43,42,87,8.6
41,42,41,84,8.8
45,44,43,89,9
43,43,44,87,9.2
44,44,44,88,9.4
44,44,44,89,9.6
45,44,45,90,9.8
43,43,43,86,10
44,44,43,88,10.2
43,44,43,88,10.4
42,43,43,87,10.6
44,44,44,88,10.8
44,43,43,88,11
44,45,44,90,11.2
45,44,44,89,11.4
43,44,44,89,11.6
43,44,43,88,11.8
45,44,44,90,12
45,45,44,91,12.2
46,46,45,91,12.4
45,46,44,91,12.6
45,45,45,91,12.8
45,46,45,92,13
46,46,45,92,13.2
45,45,45,91,13.4
45,45,45,91,13.6
45,45,45,91,13.8
45,46,45,92,14
45,46,45,92,14.2
45,45,44,92,14.4
45,46,44,93,14.6
46,45,46,93,14.8
46,47,45,93,15
46,47,46,94,15.2
47,47,46,94,15.4
47,47,46,94,15.6
46,47,46,94,15.8
47,47,46,94,16
46,47,46,95,16.2
47,47,47,94,16.4
46,46,46,94,16.6
47,46,46,95,16.8
46,46,46,94,17
46,47,46,94,17.2
46,47,46,94,17.4
46,47,46,94,17.6
47,47,47,95,17.8
48,47,47,95,18
47,48,46,95,18.2
47,48,46,95,18.4
47,47,47,95,18.6
47,48,46,95,18.8
48,47,47,95,19
48,47,47,95,19.2
46,47,46,95,19.4
47,47,46,95,19.6
46,47,47,95,19.8
46,47,47,95,20
46,48,46,96,20.2
47,47,46,96,20.4
47,47,47,94,20.6
47,47,47,94,20.8
46,47,46,94,21
46,46,46,93,21.2
