I0,I1,I2,I3,time(sec)
21,21,21,62,0
21,21,21,61,0.2
21,21,21,61,0.4
20,20,20,61,0.6
21,21,21,63,0.8
21,21,21,63,1
20,21,21,61,1.2
21,20,21,60,1.4
20,21,20,60,1.6
20,20,20,60,1.8
21,20,20,60,2
20,20,20,60,2.2
21,21,21,61,2.4
21,22,21,62,2.6
21,22,21,63,2.8
21,21,22,63,3
21,22,22,63,3.2
21,21,21,63,3.4
21,21,22,63,3.6
21,21,22,63,3.8
21,21,21,63,4
21,21,21,62,4.2
21,21,21,61,4.4
21,21,21,62,4.6
21,21,21,62,4.8
21,21,21,63,5
21,21,21,64,5.2
21,21,21,63,5.4
21,22,21,63,5.6
21,21,22,64,5.8
21,21,22,63,6
22,21,22,63,6.2
21,21,21,63,6.4
21,21,21,63,6.6
22,21,21,62,6.8
22,21,21,63,7
21,21,21,63,7.2
20,21,20,62,7.4
21,21,21,63,7.6
21,22,21,63,7.8
22,21,21,63,8
21,21,22,62,8.2
21,22,22,63,8.4
21,22,22,64,8.6
21,22,21,64,8.8
22,22,22,64,9
21,21,21,63,9.2
22,21,22,63,9.4
21,22,21,63,9.6
21,21,22,63,9.8
22,22,22,64,10
21,22,21,63,10.2
22,22,22,64,10.4
22,22,22,64,10.6
21,22,22,64,10.8
22,21,22,64,11
21,22,22,65,11.2
22,22,22,65,11.4
21,22,23,64,11.6
22,22,23,64,11.8
22,22,22,64,12
22,22,22,64,12.2
21,22,21,64,12.4
21,22,21,63,12.6
22,22,21,64,12.8
22,22,22,64,13
22,22,23,65,13.2
22,23,22,65,13.4
22,22,22,65,13.6
22,23,22,65,13.8
22,23,22,66,14
22,22,22,65,14.2
22,22,22,65,14.4
22,23,22,65,14.6
22,22,22,63,14.8
21,22,21,63,15
21,21,21,63,15.2
21,22,22,64,15.4
21,22,22,65,15.6
22,22,22,65,15.8
22,23,22,66,16
22,22,22,65,16.2
22,22,23,66,16.4
22,22,22,66,16.6
22,23,22,65,16.8
22,22,23,64,17
22,22,22,65,17.2
21,21,22,64,17.4
22,22,22,64,17.6
21,22,21,64,17.8
22,22,21,63,18
21,22,22,63,18.2
21,22,22,64,18.4
22,22,23,64,18.6
22,22,23,65,18.8
22,22,22,65,19
22,23,22,66,19.2
23,22,23,65,19.4
22,23,22,66,19.6
22,22,22,65,19.8
22,23,22,65,20
22,22,22,65,20.2
22,22,22,64,20.4
21,21,21,63,20.6
22,21,21,63,20.8
22,21,22,63,21
22,21,22,63,21.2
21,22,22,63,21.4
22,22,22,65,21.6
22,22,22,65,21.8
22,22,22,65,22
22,22,22,64,22.2
22,23,22,65,22.4
23,22,23,65,22.6
22,23,22,66,22.8
22,22,22,65,23
22,22,22,66,23.2
22,22,22,66,23.4
22,22,22,64,23.6
21,22,21,65,23.8
21,22,21,65,24
22,22,22,64,24.2
22,22,22,65,24.4
22,22,22,66,24.6
22,22,22,65,24.8
21,22,21,64,25
22,21,22,64,25.2
21,21,22,64,25.4
21,22,21,65,25.6
22,22,22,65,25.8
22,22,21,65,26
22,22,22,65,26.2
21,22,21,65,26.4
21,22,21,64,26.6
21,22,21,64,26.8
22,22,22,64,27
22,22,21,64,27.2
21,22,21,64,27.4
22,23,22,66,27.6
22,22,22,66,27.8
22,22,22,65,28
22,22,22,64,28.2
22,21,22,64,28.4
22,22,22,65,28.6
22,22,22,65,28.8
22,22,22,66,29
22,22,22,66,29.2
22,22,22,65,29.4
22,22,22,65,29.6
22,22,22,65,29.8
22,22,22,66,30
22,23,22,66,30.2
22,22,22,66,30.4
22,22,22,66,30.6
22,22,22,66,30.8
23,22,22,66,31
22,22,22,67,31.2
21,22,22,65,31.4
21,22,21,64,31.6
22,22,21,64,31.8
22,22,21,65,32
22,22,22,65,32.2
22,22,22,65,32.4
21,22,21,65,32.6
22,22,22,65,32.8
22,22,21,65,33
21,22,21,65,33.2
22,21,21,64,33.4
22,21,21,64,33.6
22,21,21,64,33.8
23,22,22,65,34
23,22,22,66,34.2
22,23,22,67,34.4
22,22,22,66,34.6
23,23,23,66,34.8
22,23,23,67,35
22,23,22,67,35.2
23,23,23,67,35.4
22,22,23,66,35.6
21,22,22,65,35.8
21,22,21,63,36
21,21,21,62,36.2
21,21,20,62,36.4
21,21,21,62,36.6
22,21,21,64,36.8
22,22,22,64,37
22,22,22,66,37.2
22,23,22,66,37.4
22,22,22,66,37.6
23,22,23,66,37.8
23,23,23,67,38
22,23,22,67,38.2
23,23,22,67,38.4
22,23,22,67,38.6
22,22,22,65,38.8
21,22,21,64,39
21,21,21,63,39.2
21,21,20,63,39.4
21,21,21,63,39.6
21,22,21,65,39.8
22,22,22,66,40
22,22,23,66,40.2
23,23,22,67,40.4
22,22,22,66,40.6
22,22,22,67,40.8
23,23,22,67,41
23,23,23,68,41.2
23,23,23,68,41.4
23,22,23,67,41.6
22,23,22,66,41.8
22,22,22,65,42
21,22,21,64,42.2
21,21,21,63,42.4
21,21,21,62,42.6
21,22,21,64,42.8
22,22,22,66,43
22,23,22,67,43.2
23,23,22,67,43.4
22,23,22,67,43.6
23,23,23,68,43.8
23,24,23,68,44
23,23,23,68,44.2
23,23,23,68,44.4
22,23,22,67,44.6
23,22,22,66,44.8
22,23,22,66,45
22,22,21,64,45.2
21,23,21,65,45.4
22,22,22,64,45.6
22,23,22,66,45.8
22,23,22,67,46
23,23,23,68,46.2
23,24,22,69,46.4
23,23,23,67,46.6
23,23,23,68,46.8
23,23,23,69,47
24,23,23,69,47.2
24,23,24,70,47.4
23,23,23,69,47.6
23,23,23,69,47.8
23,23,23,68,48
22,23,22,67,48.2
22,23,22,67,48.4
22,22,22,65,48.6
22,22,22,65,48.8
22,23,22,67,49
23,23,23,68,49.2
23,23,22,69,49.4
24,23,23,69,49.6
23,24,23,69,49.8
23,23,23,69,50
24,24,23,70,50.2
23,24,24,70,50.4
24,24,24,70,50.6
24,25,23,71,50.8
23,24,23,70,51
24,23,23,69,51.2
23,23,22,67,51.4
22,23,22,67,51.6
22,22,22,66,51.8
22,22,22,66,52
22,23,22,67,52.2
23,23,23,68,52.4
24,23,23,69,52.6
23,24,23,69,52.8
24,23,23,70,53
24,24,24,70,53.2
24,25,23,71,53.4
23,24,24,70,53.6
24,24,23,71,53.8
24,24,24,69,54
23,24,23,70,54.2
23,23,23,68,54.4
22,22,22,66,54.6
22,23,22,67,54.8
22,22,22,66,55
23,23,23,67,55.2
23,24,22,69,55.4
23,24,23,69,55.6
23,24,23,70,55.8
